광역시도명,시군구명,날짜,평균습도,총강수량,평균기온,평균풍속,한식_배달건수,분식_배달건수,카페/디저트_배달건수,돈까스/일식_배달건수,회_배달건수,치킨_배달건수,피자_배달건수,아시안/양식_배달건수,중식_배달건수,족발/보쌈_배달건수,야식_배달건수,찜탕_배달건수,도시락_배달건수,패스트푸드_배달건수
강원도,강릉시,2020-01-01,46.25,0.0,0.8500000000000001,5.050000000000001,0,0,6,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-02,48.666666666666664,0.0,3.5666666666666664,4.566666666666666,0,0,3,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-03,35.0,0.0,3.1,2.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-04,40.25,0.0,3.0500000000000003,3.275,0,0,4,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-05,53.625,0.0,3.1375,3.1750000000000003,0,0,16,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-07,88.0,7.1,7.666666666666667,2.5666666666666664,0,0,4,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-08,63.333333333333336,0.0,5.566666666666666,3.983333333333334,0,0,7,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-09,55.2,0.0,2.32,3.66,0,0,7,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-10,41.0,0.0,4.1,3.8,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-11,50.0,0.0,2.7,2.55,0,0,2,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-12,47.5,0.0,1.1666666666666667,4.383333333333333,0,0,16,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-13,34.75,0.0,-0.525,3.45,0,0,4,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-14,39.25,0.0,0.15000000000000002,2.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,2020-01-15,34.5,0.0,-0.45000000000000007,3.55,0,0,3,0,0,0,0,0,0,0,0,0,0,0
